"Id","Icon","Texture","Package","File"
"2","weapon_long_sword_i00","weapon_long_sword_i00","Icon.utx","weapon_long_sword_i00.png"
"3","weapon_broad_sword_i00","weapon_broad_sword_i00","Icon.utx","weapon_broad_sword_i00.png"
"4","weapon_club_i00","weapon_club_i00","Icon.utx","weapon_club_i00.png"
"5","weapon_mace_i00","weapon_mace_i00","Icon.utx","weapon_mace_i00.png"
"6","weapon_apprentices_wand_i00","weapon_apprentices_wand_i00","Icon.utx","weapon_apprentices_wand_i00.png"
"7","weapon_apprentices_rod_i00","weapon_apprentices_rod_i00","Icon.utx","weapon_apprentices_rod_i00.png"
"8","weapon_willow_staff_i00","weapon_willow_staff_i00","Icon.utx","weapon_willow_staff_i00.png"
"9","weapon_cedar_staff_i00","weapon_cedar_staff_i00","Icon.utx","weapon_cedar_staff_i00.png"
"10","weapon_dagger_i00","weapon_dagger_i00","Icon.utx","weapon_dagger_i00.png"
"11","weapon_bone_dagger_i00","weapon_bone_dagger_i00","Icon.utx","weapon_bone_dagger_i00.png"
"12","weapon_knife_i00","weapon_knife_i00","Icon.utx","weapon_knife_i00.png"
"13","weapon_short_bow_i00","weapon_short_bow_i00","Icon.utx","weapon_short_bow_i00.png"
"14","weapon_bow_i00","weapon_bow_i00","Icon.utx","weapon_bow_i00.png"
"15","weapon_short_spear_i00","weapon_short_spear_i00","Icon.utx","weapon_short_spear_i00.png"
"16","weapon_long_spear_i00","weapon_long_spear_i00","Icon.utx","weapon_long_spear_i00.png"
"66","weapon_gladius_i00","weapon_gladius_i00","Icon.utx","weapon_gladius_i00.png"
"68","weapon_falchion_i00","weapon_falchion_i00","Icon.utx","weapon_falchion_i00.png"
"69","weapon_bastard_sword_i00","weapon_bastard_sword_i00","Icon.utx","weapon_bastard_sword_i00.png"
"70","weapon_claymore_i00","weapon_claymore_i00","Icon.utx","weapon_claymore_i00.png"
"71","weapon_flamberge_i00","weapon_flamberge_i00","Icon.utx","weapon_flamberge_i00.png"
"72","weapon_stormbringer_i00","weapon_stormbringer_i00","Icon.utx","weapon_stormbringer_i00.png"
"75","weapon_caliburs_i00","weapon_caliburs_i00","Icon.utx","weapon_caliburs_i00.png"
"77","weapon_tsurugi_i00","weapon_tsurugi_i00","Icon.utx","weapon_tsurugi_i00.png"
"78","weapon_great_sword_i00","weapon_great_sword_i00","Icon.utx","weapon_great_sword_i00.png"
"79","weapon_sword_of_damascus_i00","weapon_sword_of_damascus_i00","Icon.utx","weapon_sword_of_damascus_i00.png"
"80","weapon_tallum_blade_i00","weapon_tallum_blade_i00","Icon.utx","weapon_tallum_blade_i00.png"
"81","weapon_dragon_slayer_i00","weapon_dragon_slayer_i00","Icon.utx","weapon_dragon_slayer_i00.png"
"82","weapon_forgotten_blade_i00","weapon_forgotten_blade_i00","Icon.utx","weapon_forgotten_blade_i00.png"
"83","weapon_sword_of_magic_i00","weapon_sword_of_magic_i00","Icon.utx","weapon_sword_of_magic_i00.png"
"84","weapon_homunkuluss_sword_i00","weapon_homunkuluss_sword_i00","Icon.utx","weapon_homunkuluss_sword_i00.png"
"85","weapon_phantom_sword_i00","weapon_phantom_sword_i00","Icon.utx","weapon_phantom_sword_i00.png"
"87","weapon_iron_hammer_i00","weapon_iron_hammer_i00","Icon.utx","weapon_iron_hammer_i00.png"
"88","weapon_morning_star_i00","weapon_morning_star_i00","Icon.utx","weapon_morning_star_i00.png"
"89","weapon_big_hammer_i00","weapon_big_hammer_i00","Icon.utx","weapon_big_hammer_i00.png"
"90","weapon_goathead_staff_i00","weapon_goathead_staff_i00","Icon.utx","weapon_goathead_staff_i00.png"
"91","weapon_heavy_war_axe_i00","weapon_heavy_war_axe_i00","Icon.utx","weapon_heavy_war_axe_i00.png"
"92","weapon_sprites_staff_i00","weapon_sprites_staff_i00","Icon.utx","weapon_sprites_staff_i00.png"
"93","weapon_winged_spear_i00","weapon_winged_spear_i00","Icon.utx","weapon_winged_spear_i00.png"
"94","weapon_bech_de_corbin_i00","weapon_bech_de_corbin_i00","Icon.utx","weapon_bech_de_corbin_i00.png"
"95","weapon_poleaxe_i00","weapon_poleaxe_i00","Icon.utx","weapon_poleaxe_i00.png"
"97","weapon_lancia_i00","weapon_lancia_i00","Icon.utx","weapon_lancia_i00.png"
"98","weapon_halbard_i00","weapon_halbard_i00","Icon.utx","weapon_halbard_i00.png"
"99","weapon_apprentices_spellbook_i00","weapon_apprentices_spellbook_i00","Icon.utx","weapon_apprentices_spellbook_i00.png"
"100","weapon_voodoo_doll_i00","weapon_voodoo_doll_i00","Icon.utx","weapon_voodoo_doll_i00.png"
"101","weapon_scroll_of_wisdom_i00","weapon_scroll_of_wisdom_i00","Icon.utx","weapon_scroll_of_wisdom_i00.png"
"120","weapon_sword_of_watershadow_i00","weapon_sword_of_watershadow_i00","Icon.utx","weapon_sword_of_watershadow_i00.png"
"122","weapon_handmade_sword_i00","weapon_handmade_sword_i00","Icon.utx","weapon_handmade_sword_i00.png"
"124","weapon_two_handed_sword_i00","weapon_two_handed_sword_i00","Icon.utx","weapon_two_handed_sword_i00.png"
"125","weapon_spinebone_sword_i00","weapon_spinebone_sword_i00","Icon.utx","weapon_spinebone_sword_i00.png"
"126","weapon_artisans_sword_i00","weapon_artisans_sword_i00","Icon.utx","weapon_artisans_sword_i00.png"
"128","weapon_knights_sword_i00","weapon_knights_sword_i00","Icon.utx","weapon_knights_sword_i00.png"
"129","weapon_sword_of_revolution_i00","weapon_sword_of_revolution_i00","Icon.utx","weapon_sword_of_revolution_i00.png"
"130","weapon_elven_sword_i00","weapon_elven_sword_i00","Icon.utx","weapon_elven_sword_i00.png"
"131","weapon_spirits_sword_i00","weapon_spirits_sword_i00","Icon.utx","weapon_spirits_sword_i00.png"
"132","weapon_sword_of_limit_i00","weapon_sword_of_limit_i00","Icon.utx","weapon_sword_of_limit_i00.png"
"133","weapon_raid_sword_i00","weapon_raid_sword_i00","Icon.utx","weapon_raid_sword_i00.png"
"134","weapon_sword_of_nightmare_i00","weapon_sword_of_nightmare_i00","Icon.utx","weapon_sword_of_nightmare_i00.png"
"135","weapon_samurai_longsword_i00","weapon_samurai_longsword_i00","Icon.utx","weapon_samurai_longsword_i00.png"
"136","weapon_limpid_sword_i00","weapon_limpid_sword_i00","Icon.utx","weapon_limpid_sword_i00.png"
"139","weapon_deathbreath_sword_i00","weapon_deathbreath_sword_i00","Icon.utx","weapon_deathbreath_sword_i00.png"
"142","weapon_kshanberk_i00","weapon_kshanberk_i00","Icon.utx","weapon_kshanberk_i00.png"
"143","weapon_sword_of_mystic_i00","weapon_sword_of_mystic_i00","Icon.utx","weapon_sword_of_mystic_i00.png"
"144","weapon_sword_of_occult_i00","weapon_sword_of_occult_i00","Icon.utx","weapon_sword_of_occult_i00.png"
"148","weapon_sword_of_valhalla_i00","weapon_sword_of_valhalla_i00","Icon.utx","weapon_sword_of_valhalla_i00.png"
"149","weapon_needle_wolverine_i00","weapon_needle_wolverine_i00","Icon.utx","weapon_needle_wolverine_i00.png"
"150","weapon_elemental_sword_i00","weapon_elemental_sword_i00","Icon.utx","weapon_elemental_sword_i00.png"
"151","weapon_sword_of_miracle_i00","weapon_sword_of_miracle_i00","Icon.utx","weapon_sword_of_miracle_i00.png"
"152","weapon_heavy_chisel_i00","weapon_heavy_chisel_i00","Icon.utx","weapon_heavy_chisel_i00.png"
"154","weapon_dwarven_mace_i00","weapon_dwarven_mace_i00","Icon.utx","weapon_dwarven_mace_i00.png"
"155","weapon_buzdygan_i00","weapon_buzdygan_i00","Icon.utx","weapon_buzdygan_i00.png"
"156","weapon_hand_axe_i00","weapon_hand_axe_i00","Icon.utx","weapon_hand_axe_i00.png"
"157","weapon_spike_club_i00","weapon_spike_club_i00","Icon.utx","weapon_spike_club_i00.png"
"158","weapon_tarbar_i00","weapon_tarbar_i00","Icon.utx","weapon_tarbar_i00.png"
"159","weapon_bonebreaker_i00","weapon_bonebreaker_i00","Icon.utx","weapon_bonebreaker_i00.png"
"160","weapon_battle_axe_i00","weapon_battle_axe_i00","Icon.utx","weapon_battle_axe_i00.png"
"161","weapon_war_pick_i00","weapon_war_pick_i00","Icon.utx","weapon_war_pick_i00.png"
"162","weapon_war_axe_i00","weapon_war_axe_i00","Icon.utx","weapon_war_axe_i00.png"
"164","weapon_elysian_i00","weapon_elysian_i00","Icon.utx","weapon_elysian_i00.png"
"165","weapon_basalt_battlehammer_i00","weapon_basalt_battlehammer_i00","Icon.utx","weapon_basalt_battlehammer_i00.png"
"166","weapon_heavy_mace_i00","weapon_heavy_mace_i00","Icon.utx","weapon_heavy_mace_i00.png"
"167","weapon_scalpel_i00","weapon_scalpel_i00","Icon.utx","weapon_scalpel_i00.png"
"168","weapon_work_hammer_i00","weapon_work_hammer_i00","Icon.utx","weapon_work_hammer_i00.png"
"169","weapon_skull_breaker_i00","weapon_skull_breaker_i00","Icon.utx","weapon_skull_breaker_i00.png"
"171","weapon_deadmans_glory_i00","weapon_deadmans_glory_i00","Icon.utx","weapon_deadmans_glory_i00.png"
"172","weapon_heavy_bone_club_i00","weapon_heavy_bone_club_i00","Icon.utx","weapon_heavy_bone_club_i00.png"
"173","weapon_skull_graver_i00","weapon_skull_graver_i00","Icon.utx","weapon_skull_graver_i00.png"
"174","weapon_nirvana_axe_i00","weapon_nirvana_axe_i00","Icon.utx","weapon_nirvana_axe_i00.png"
"175","weapon_art_of_battle_axe_i00","weapon_art_of_battle_axe_i00","Icon.utx","weapon_art_of_battle_axe_i00.png"
"176","weapon_apprentices_staff_i00","weapon_apprentices_staff_i00","Icon.utx","weapon_apprentices_staff_i00.png"
"179","weapon_mace_of_prayer_i00","weapon_mace_of_prayer_i00","Icon.utx","weapon_mace_of_prayer_i00.png"
"180","weapon_mace_of_judgment_i00","weapon_mace_of_judgment_i00","Icon.utx","weapon_mace_of_judgment_i00.png"
"181","weapon_mace_of_miracle_i00","weapon_mace_of_miracle_i00","Icon.utx","weapon_mace_of_miracle_i00.png"
"182","weapon_doom_hammer_i00","weapon_doom_hammer_i00","Icon.utx","weapon_doom_hammer_i00.png"
"183","weapon_mystic_staff_i00","weapon_mystic_staff_i00","Icon.utx","weapon_mystic_staff_i00.png"
"184","weapon_conjure_staff_i00","weapon_conjure_staff_i00","Icon.utx","weapon_conjure_staff_i00.png"
